group,image_id,image_path,I_nc,I_sample,ratio,sat_nc,sat_sample,pred,correct,note
neg_pos,pair_neg_pos_17,C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_pos\pair_neg_pos_17.jpg,202.0000,241.0000,1.193069,0.0000,0.0103,pos,True,
neg_pos,pair_neg_pos_18,C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_pos\pair_neg_pos_18.jpg,171.0000,231.0000,1.350877,0.0000,0.0007,pos,True,
neg_pos,pair_neg_pos_19,C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_pos\pair_neg_pos_19.jpg,173.0000,228.0000,1.317919,0.0000,0.0000,pos,True,
neg_pos,pair_neg_pos_2,C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_pos\pair_neg_pos_2.jpg,201.0000,241.0000,1.199005,0.0000,0.0009,pos,True,
neg_pos,pair_neg_pos_20,C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_pos\pair_neg_pos_20.jpg,174.0000,232.0000,1.333333,0.0000,0.0009,pos,True,
neg_pos,pair_neg_pos_3,C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_pos\pair_neg_pos_3.jpg,216.0000,241.0000,1.115741,0.0000,0.0118,neg,False,
neg_pos,pair_neg_pos_4,C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_pos\pair_neg_pos_4.jpg,213.0000,243.0000,1.140845,0.0000,0.0152,pos,True,
neg_pos,pair_neg_pos_5,C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_pos\pair_neg_pos_5.jpg,192.0000,233.0000,1.213542,0.0000,0.0064,pos,True,
neg_pos,pair_neg_pos_6,C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_pos\pair_neg_pos_6.jpg,193.0000,234.0000,1.212435,0.0000,0.0050,pos,True,
neg_pos,pair_neg_pos_7,C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_pos\pair_neg_pos_7.jpg,207.0000,240.0000,1.159420,0.0000,0.0056,pos,True,
neg_pos,pair_neg_pos_8,C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_pos\pair_neg_pos_8.jpg,198.0000,239.0000,1.207071,0.0000,0.0057,pos,True,
neg_pos,pair_neg_pos_9,C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_pos\pair_neg_pos_9.jpg,193.0000,240.0000,1.243523,0.0000,0.0131,pos,True,
