image_id,image_path,group,n_tube,n_roi,top_tube_conf,top_roi_conf,second_roi_conf,tube_conf_list,roi_conf_list
pair_neg_pos_13,C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_pos\pair_neg_pos_13.jpg,pair_neg_pos,2,2,0.8621,0.8047,0.8046,0.8621;0.8371,0.8047;0.8046
pair_neg_pos_14,C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_pos\pair_neg_pos_14.jpg,pair_neg_pos,2,2,0.8576,0.7920,0.7824,0.8576;0.8124,0.7920;0.7824
pair_neg_pos_15,C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_pos\pair_neg_pos_15.jpg,pair_neg_pos,2,2,0.8582,0.7933,0.7877,0.8582;0.8091,0.7933;0.7877
pair_neg_pos_16,C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_pos\pair_neg_pos_16.jpg,pair_neg_pos,2,2,0.8495,0.8302,0.7948,0.8495;0.8435,0.8302;0.7948
pair_neg_pos_17,C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_pos\pair_neg_pos_17.jpg,pair_neg_pos,2,2,0.8453,0.8276,0.7965,0.8453;0.8409,0.8276;0.7965
pair_neg_pos_18,C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_pos\pair_neg_pos_18.jpg,pair_neg_pos,2,2,0.8433,0.8016,0.7944,0.8433;0.8307,0.8016;0.7944
pair_neg_pos_19,C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_pos\pair_neg_pos_19.jpg,pair_neg_pos,2,2,0.8462,0.8103,0.8032,0.8462;0.8284,0.8103;0.8032
pair_neg_pos_2,C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_pos\pair_neg_pos_2.jpg,pair_neg_pos,2,2,0.8677,0.8264,0.8248,0.8677;0.8383,0.8264;0.8248
pair_neg_pos_20,C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_pos\pair_neg_pos_20.jpg,pair_neg_pos,2,2,0.8657,0.8134,0.8036,0.8657;0.8373,0.8134;0.8036
pair_neg_pos_3,C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_pos\pair_neg_pos_3.jpg,pair_neg_pos,2,2,0.8426,0.8289,0.8158,0.8426;0.8270,0.8289;0.8158
pair_neg_pos_4,C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_pos\pair_neg_pos_4.jpg,pair_neg_pos,2,2,0.8484,0.8158,0.8157,0.8484;0.8462,0.8158;0.8157
pair_neg_pos_5,C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_pos\pair_neg_pos_5.jpg,pair_neg_pos,2,2,0.8639,0.8342,0.7820,0.8639;0.8511,0.8342;0.7820
pair_neg_pos_6,C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_pos\pair_neg_pos_6.jpg,pair_neg_pos,2,2,0.8666,0.8315,0.7753,0.8666;0.8568,0.8315;0.7753
pair_neg_pos_7,C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_pos\pair_neg_pos_7.jpg,pair_neg_pos,2,2,0.8568,0.8197,0.8033,0.8568;0.8502,0.8197;0.8033
pair_neg_pos_8,C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_pos\pair_neg_pos_8.jpg,pair_neg_pos,2,2,0.8563,0.8129,0.8041,0.8563;0.8471,0.8129;0.8041
pair_neg_pos_9,C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_pos\pair_neg_pos_9.jpg,pair_neg_pos,2,2,0.8521,0.8091,0.8029,0.8521;0.8327,0.8091;0.8029
blur_neg_1_1,C:\n.gonorrhea_diagnostic_app\dataset\qc_test\error_blur\blur_neg_1_1.jpg,qc_blur,1,1,0.8618,0.8011,0.0000,0.8618,0.8011
blur_neg_1_2,C:\n.gonorrhea_diagnostic_app\dataset\qc_test\error_blur\blur_neg_1_2.jpg,qc_blur,1,1,0.8667,0.8101,0.0000,0.8667,0.8101
blur_neg_2_1,C:\n.gonorrhea_diagnostic_app\dataset\qc_test\error_blur\blur_neg_2_1.jpg,qc_blur,1,1,0.8647,0.8008,0.0000,0.8647,0.8008
blur_neg_2_2,C:\n.gonorrhea_diagnostic_app\dataset\qc_test\error_blur\blur_neg_2_2.jpg,qc_blur,1,1,0.8664,0.7973,0.0000,0.8664,0.7973
blur_neg_3_1,C:\n.gonorrhea_diagnostic_app\dataset\qc_test\error_blur\blur_neg_3_1.jpg,qc_blur,1,1,0.8604,0.8299,0.0000,0.8604,0.8299
blur_neg_3_2,C:\n.gonorrhea_diagnostic_app\dataset\qc_test\error_blur\blur_neg_3_2.jpg,qc_blur,1,1,0.8628,0.7422,0.0000,0.8628,0.7422
blur_neg_4_1,C:\n.gonorrhea_diagnostic_app\dataset\qc_test\error_blur\blur_neg_4_1.jpg,qc_blur,1,1,0.8736,0.8099,0.0000,0.8736,0.8099
blur_neg_4_2,C:\n.gonorrhea_diagnostic_app\dataset\qc_test\error_blur\blur_neg_4_2.jpg,qc_blur,1,1,0.8596,0.7575,0.0000,0.8596,0.7575
blur_neg_5_1,C:\n.gonorrhea_diagnostic_app\dataset\qc_test\error_blur\blur_neg_5_1.jpg,qc_blur,1,1,0.8561,0.8026,0.0000,0.8561,0.8026
blur_neg_5_2,C:\n.gonorrhea_diagnostic_app\dataset\qc_test\error_blur\blur_neg_5_2.jpg,qc_blur,1,1,0.8141,0.7278,0.0000,0.8141,0.7278
blur_pos_1_1,C:\n.gonorrhea_diagnostic_app\dataset\qc_test\error_blur\blur_pos_1_1.jpg,qc_blur,1,1,0.8515,0.8077,0.0000,0.8515,0.8077
blur_pos_1_2,C:\n.gonorrhea_diagnostic_app\dataset\qc_test\error_blur\blur_pos_1_2.jpg,qc_blur,1,2,0.8058,0.7574,0.4256,0.8058,0.7574;0.4256
blur_pos_2_1,C:\n.gonorrhea_diagnostic_app\dataset\qc_test\error_blur\blur_pos_2_1.jpg,qc_blur,1,1,0.8642,0.8209,0.0000,0.8642,0.8209
blur_pos_2_2,C:\n.gonorrhea_diagnostic_app\dataset\qc_test\error_blur\blur_pos_2_2.jpg,qc_blur,1,1,0.8655,0.8139,0.0000,0.8655,0.8139
blur_pos_3_1,C:\n.gonorrhea_diagnostic_app\dataset\qc_test\error_blur\blur_pos_3_1.jpg,qc_blur,1,1,0.8407,0.7799,0.0000,0.8407,0.7799
blur_pos_3_2,C:\n.gonorrhea_diagnostic_app\dataset\qc_test\error_blur\blur_pos_3_2.jpg,qc_blur,1,1,0.8751,0.8217,0.0000,0.8751,0.8217
blur_pos_4_1,C:\n.gonorrhea_diagnostic_app\dataset\qc_test\error_blur\blur_pos_4_1.jpg,qc_blur,1,1,0.8309,0.8326,0.0000,0.8309,0.8326
blur_pos_4_2,C:\n.gonorrhea_diagnostic_app\dataset\qc_test\error_blur\blur_pos_4_2.jpg,qc_blur,1,1,0.8451,0.8458,0.0000,0.8451,0.8458
blur_pos_5_1,C:\n.gonorrhea_diagnostic_app\dataset\qc_test\error_blur\blur_pos_5_1.jpg,qc_blur,1,1,0.8645,0.8146,0.0000,0.8645,0.8146
blur_pos_5_2,C:\n.gonorrhea_diagnostic_app\dataset\qc_test\error_blur\blur_pos_5_2.jpg,qc_blur,1,1,0.8510,0.8063,0.0000,0.8510,0.8063
light_1,C:\n.gonorrhea_diagnostic_app\dataset\qc_test\error_light\light_1.jpg,qc_light,1,1,0.7242,0.3295,0.0000,0.7242,0.3295
light_10,C:\n.gonorrhea_diagnostic_app\dataset\qc_test\error_light\light_10.jpg,qc_light,1,1,0.9076,0.8040,0.0000,0.9076,0.8040
light_11,C:\n.gonorrhea_diagnostic_app\dataset\qc_test\error_light\light_11.jpg,qc_light,1,1,0.8650,0.8246,0.0000,0.8650,0.8246
light_12,C:\n.gonorrhea_diagnostic_app\dataset\qc_test\error_light\light_12.jpg,qc_light,1,1,0.8839,0.8260,0.0000,0.8839,0.8260
light_13,C:\n.gonorrhea_diagnostic_app\dataset\qc_test\error_light\light_13.jpg,qc_light,1,1,0.8487,0.8309,0.0000,0.8487,0.8309
light_14,C:\n.gonorrhea_diagnostic_app\dataset\qc_test\error_light\light_14.jpg,qc_light,1,1,0.8509,0.8307,0.0000,0.8509,0.8307
light_15,C:\n.gonorrhea_diagnostic_app\dataset\qc_test\error_light\light_15.jpg,qc_light,1,1,0.8688,0.8180,0.0000,0.8688,0.8180
light_16,C:\n.gonorrhea_diagnostic_app\dataset\qc_test\error_light\light_16.jpg,qc_light,1,1,0.8790,0.8175,0.0000,0.8790,0.8175
light_17,C:\n.gonorrhea_diagnostic_app\dataset\qc_test\error_light\light_17.jpg,qc_light,1,1,0.8539,0.8048,0.0000,0.8539,0.8048
light_18,C:\n.gonorrhea_diagnostic_app\dataset\qc_test\error_light\light_18.jpg,qc_light,1,1,0.8487,0.8337,0.0000,0.8487,0.8337
light_19,C:\n.gonorrhea_diagnostic_app\dataset\qc_test\error_light\light_19.jpg,qc_light,1,1,0.8699,0.8353,0.0000,0.8699,0.8353
light_2,C:\n.gonorrhea_diagnostic_app\dataset\qc_test\error_light\light_2.jpg,qc_light,1,1,0.8494,0.8123,0.0000,0.8494,0.8123
light_20,C:\n.gonorrhea_diagnostic_app\dataset\qc_test\error_light\light_20.jpg,qc_light,1,1,0.8724,0.7927,0.0000,0.8724,0.7927
light_3,C:\n.gonorrhea_diagnostic_app\dataset\qc_test\error_light\light_3.jpg,qc_light,1,1,0.8580,0.8244,0.0000,0.8580,0.8244
light_4,C:\n.gonorrhea_diagnostic_app\dataset\qc_test\error_light\light_4.jpg,qc_light,1,1,0.8748,0.8211,0.0000,0.8748,0.8211
light_5,C:\n.gonorrhea_diagnostic_app\dataset\qc_test\error_light\light_5.jpg,qc_light,1,1,0.8367,0.8315,0.0000,0.8367,0.8315
light_6,C:\n.gonorrhea_diagnostic_app\dataset\qc_test\error_light\light_6.jpg,qc_light,1,1,0.8404,0.8219,0.0000,0.8404,0.8219
light_7,C:\n.gonorrhea_diagnostic_app\dataset\qc_test\error_light\light_7.jpg,qc_light,0,1,0.0000,0.8123,0.0000,,0.8123
light_8,C:\n.gonorrhea_diagnostic_app\dataset\qc_test\error_light\light_8.jpg,qc_light,1,1,0.7851,0.8171,0.0000,0.7851,0.8171
light_9,C:\n.gonorrhea_diagnostic_app\dataset\qc_test\error_light\light_9.jpg,qc_light,1,1,0.8947,0.8176,0.0000,0.8947,0.8176
splash__neg_2_1,C:\n.gonorrhea_diagnostic_app\dataset\qc_test\error_splash\splash__neg_2_1.jpg,qc_splash,1,0,0.8461,0.0000,0.0000,0.8461,
splash_neg_1_1,C:\n.gonorrhea_diagnostic_app\dataset\qc_test\error_splash\splash_neg_1_1.jpg,qc_splash,1,1,0.8546,0.6939,0.0000,0.8546,0.6939
