image_id,image_path,group,n_tube,n_roi,top_tube_conf,top_roi_conf,second_roi_conf,tube_conf_list,roi_conf_list
solo_train_neg_18,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\neg\solo_train_neg_18.jpg,solo,1,1,0.8673,0.8316,0.0000,0.8673,0.8316
solo_train_neg_19,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\neg\solo_train_neg_19.jpg,solo,1,1,0.8359,0.8222,0.0000,0.8359,0.8222
solo_train_neg_2,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\neg\solo_train_neg_2.jpg,solo,1,1,0.8525,0.8132,0.0000,0.8525,0.8132
solo_train_neg_20,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\neg\solo_train_neg_20.jpg,solo,1,1,0.8348,0.8177,0.0000,0.8348,0.8177
solo_train_neg_21,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\neg\solo_train_neg_21.jpg,solo,1,1,0.8553,0.8056,0.0000,0.8553,0.8056
solo_train_neg_22,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\neg\solo_train_neg_22.jpg,solo,1,1,0.8430,0.8180,0.0000,0.8430,0.8180
solo_train_neg_23,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\neg\solo_train_neg_23.jpg,solo,1,1,0.8361,0.8271,0.0000,0.8361,0.8271
solo_train_neg_24,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\neg\solo_train_neg_24.jpg,solo,1,1,0.8308,0.8268,0.0000,0.8308,0.8268
solo_train_neg_25,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\neg\solo_train_neg_25.jpg,solo,1,1,0.8392,0.8057,0.0000,0.8392,0.8057
solo_train_neg_26,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\neg\solo_train_neg_26.jpg,solo,1,1,0.8453,0.8016,0.0000,0.8453,0.8016
solo_train_neg_27,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\neg\solo_train_neg_27.jpg,solo,1,1,0.8620,0.8001,0.0000,0.8620,0.8001
solo_train_neg_28,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\neg\solo_train_neg_28.jpg,solo,1,1,0.8609,0.7940,0.0000,0.8609,0.7940
solo_train_neg_29,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\neg\solo_train_neg_29.jpg,solo,1,1,0.8218,0.7998,0.0000,0.8218,0.7998
solo_train_neg_3,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\neg\solo_train_neg_3.jpg,solo,1,1,0.8467,0.8101,0.0000,0.8467,0.8101
solo_train_neg_30,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\neg\solo_train_neg_30.jpg,solo,1,1,0.8232,0.7988,0.0000,0.8232,0.7988
solo_train_neg_31,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\neg\solo_train_neg_31.jpg,solo,1,1,0.8584,0.8130,0.0000,0.8584,0.8130
solo_train_neg_32,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\neg\solo_train_neg_32.jpg,solo,1,1,0.8567,0.8172,0.0000,0.8567,0.8172
solo_train_neg_33,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\neg\solo_train_neg_33.jpg,solo,1,1,0.8441,0.8177,0.0000,0.8441,0.8177
solo_train_neg_34,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\neg\solo_train_neg_34.jpg,solo,1,1,0.8285,0.8204,0.0000,0.8285,0.8204
solo_train_neg_35,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\neg\solo_train_neg_35.jpg,solo,1,1,0.8252,0.8095,0.0000,0.8252,0.8095
solo_train_neg_36,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\neg\solo_train_neg_36.jpg,solo,1,1,0.8271,0.8096,0.0000,0.8271,0.8096
solo_train_neg_37,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\neg\solo_train_neg_37.jpg,solo,1,1,0.8437,0.8053,0.0000,0.8437,0.8053
solo_train_neg_38,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\neg\solo_train_neg_38.jpg,solo,1,1,0.8469,0.8030,0.0000,0.8469,0.8030
solo_train_neg_39,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\neg\solo_train_neg_39.jpg,solo,1,1,0.8654,0.8107,0.0000,0.8654,0.8107
solo_train_neg_4,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\neg\solo_train_neg_4.jpg,solo,1,1,0.8447,0.8047,0.0000,0.8447,0.8047
solo_train_neg_40,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\neg\solo_train_neg_40.jpg,solo,1,1,0.8668,0.8129,0.0000,0.8668,0.8129
solo_train_neg_5,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\neg\solo_train_neg_5.jpg,solo,1,1,0.8319,0.8147,0.0000,0.8319,0.8147
solo_train_neg_6,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\neg\solo_train_neg_6.jpg,solo,1,1,0.8413,0.8125,0.0000,0.8413,0.8125
solo_train_neg_7,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\neg\solo_train_neg_7.jpg,solo,1,1,0.8357,0.8188,0.0000,0.8357,0.8188
solo_train_neg_8,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\neg\solo_train_neg_8.jpg,solo,1,1,0.8357,0.8182,0.0000,0.8357,0.8182
solo_train_neg_9,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\neg\solo_train_neg_9.jpg,solo,1,1,0.8492,0.8088,0.0000,0.8492,0.8088
solo_train_pos_1,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\pos\solo_train_pos_1.jpg,solo,1,1,0.8525,0.8298,0.0000,0.8525,0.8298
solo_train_pos_10,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\pos\solo_train_pos_10.jpg,solo,1,1,0.8183,0.8135,0.0000,0.8183,0.8135
solo_train_pos_11,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\pos\solo_train_pos_11.jpg,solo,1,1,0.8353,0.8184,0.0000,0.8353,0.8184
solo_train_pos_12,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\pos\solo_train_pos_12.jpg,solo,1,1,0.8310,0.8218,0.0000,0.8310,0.8218
solo_train_pos_13,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\pos\solo_train_pos_13.jpg,solo,1,1,0.8391,0.8296,0.0000,0.8391,0.8296
solo_train_pos_14,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\pos\solo_train_pos_14.jpg,solo,1,1,0.8379,0.8297,0.0000,0.8379,0.8297
solo_train_pos_15,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\pos\solo_train_pos_15.jpg,solo,1,1,0.8328,0.8231,0.0000,0.8328,0.8231
solo_train_pos_16,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\pos\solo_train_pos_16.jpg,solo,1,1,0.8347,0.8219,0.0000,0.8347,0.8219
solo_train_pos_17,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\pos\solo_train_pos_17.jpg,solo,1,1,0.8348,0.8143,0.0000,0.8348,0.8143
solo_train_pos_18,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\pos\solo_train_pos_18.jpg,solo,1,1,0.8415,0.8164,0.0000,0.8415,0.8164
solo_train_pos_19,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\pos\solo_train_pos_19.jpg,solo,1,1,0.8533,0.8340,0.0000,0.8533,0.8340
solo_train_pos_2,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\pos\solo_train_pos_2.jpg,solo,1,1,0.8524,0.8108,0.0000,0.8524,0.8108
solo_train_pos_20,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\pos\solo_train_pos_20.jpg,solo,1,1,0.8511,0.8318,0.0000,0.8511,0.8318
solo_train_pos_21,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\pos\solo_train_pos_21.jpg,solo,1,1,0.8748,0.8263,0.0000,0.8748,0.8263
solo_train_pos_22,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\pos\solo_train_pos_22.jpg,solo,1,1,0.8484,0.8077,0.0000,0.8484,0.8077
solo_train_pos_23,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\pos\solo_train_pos_23.jpg,solo,1,1,0.8423,0.8162,0.0000,0.8423,0.8162
solo_train_pos_24,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\pos\solo_train_pos_24.jpg,solo,1,1,0.8282,0.8170,0.0000,0.8282,0.8170
solo_train_pos_25,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\pos\solo_train_pos_25.jpg,solo,1,1,0.8273,0.8134,0.0000,0.8273,0.8134
solo_train_pos_26,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\pos\solo_train_pos_26.jpg,solo,1,1,0.8403,0.8158,0.0000,0.8403,0.8158
solo_train_pos_27,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\pos\solo_train_pos_27.jpg,solo,1,1,0.8262,0.8180,0.0000,0.8262,0.8180
solo_train_pos_28,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\pos\solo_train_pos_28.jpg,solo,1,1,0.8329,0.8240,0.0000,0.8329,0.8240
solo_train_pos_29,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\pos\solo_train_pos_29.jpg,solo,1,1,0.8327,0.8184,0.0000,0.8327,0.8184
solo_train_pos_3,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\pos\solo_train_pos_3.jpg,solo,1,1,0.8410,0.8073,0.0000,0.8410,0.8073
solo_train_pos_30,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\pos\solo_train_pos_30.jpg,solo,1,1,0.8273,0.8200,0.0000,0.8273,0.8200
solo_train_pos_31,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\pos\solo_train_pos_31.jpg,solo,1,1,0.8467,0.8248,0.0000,0.8467,0.8248
solo_train_pos_32,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\pos\solo_train_pos_32.jpg,solo,1,1,0.8316,0.8146,0.0000,0.8316,0.8146
solo_train_pos_33,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\pos\solo_train_pos_33.jpg,solo,1,1,0.8305,0.8193,0.0000,0.8305,0.8193
solo_train_pos_34,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\pos\solo_train_pos_34.jpg,solo,1,1,0.8479,0.8229,0.0000,0.8479,0.8229
solo_train_pos_35,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\pos\solo_train_pos_35.jpg,solo,1,1,0.8576,0.8269,0.0000,0.8576,0.8269
solo_train_pos_36,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\pos\solo_train_pos_36.jpg,solo,1,1,0.8781,0.8209,0.0000,0.8781,0.8209
solo_train_pos_37,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\pos\solo_train_pos_37.jpg,solo,1,1,0.8752,0.8212,0.0000,0.8752,0.8212
solo_train_pos_38,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\pos\solo_train_pos_38.jpg,solo,1,1,0.8670,0.8268,0.0000,0.8670,0.8268
solo_train_pos_39,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\pos\solo_train_pos_39.jpg,solo,1,1,0.8696,0.8304,0.0000,0.8696,0.8304
solo_train_pos_4,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\pos\solo_train_pos_4.jpg,solo,1,1,0.8402,0.8057,0.0000,0.8402,0.8057
solo_train_pos_40,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\pos\solo_train_pos_40.jpg,solo,1,1,0.8797,0.8302,0.0000,0.8797,0.8302
solo_train_pos_5,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\pos\solo_train_pos_5.jpg,solo,1,1,0.8709,0.8383,0.0000,0.8709,0.8383
solo_train_pos_6,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\pos\solo_train_pos_6.jpg,solo,1,1,0.8366,0.8139,0.0000,0.8366,0.8139
solo_train_pos_7,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\pos\solo_train_pos_7.jpg,solo,1,1,0.8484,0.8221,0.0000,0.8484,0.8221
solo_train_pos_8,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\pos\solo_train_pos_8.jpg,solo,1,1,0.8524,0.8235,0.0000,0.8524,0.8235
solo_train_pos_9,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\pos\solo_train_pos_9.jpg,solo,1,1,0.8181,0.8103,0.0000,0.8181,0.8103
galaxy_neg_half,C:\n.gonorrhea_diagnostic_app\dataset\test_all\neg_pos_galaxynote8\galaxy_neg_half.jpg,test_all,2,2,0.8602,0.7944,0.6563,0.8602;0.8350,0.7944;0.6563
galaxy_neg_other,C:\n.gonorrhea_diagnostic_app\dataset\test_all\neg_pos_galaxynote8\galaxy_neg_other.jpg,test_all,2,2,0.8762,0.8152,0.7929,0.8762;0.8348,0.8152;0.7929
galaxy_neg_pos,C:\n.gonorrhea_diagnostic_app\dataset\test_all\neg_pos_galaxynote8\galaxy_neg_pos.jpg,test_all,2,2,0.8594,0.7883,0.7696,0.8594;0.8453,0.7883;0.7696
galaxy_neg_pos_1,C:\n.gonorrhea_diagnostic_app\dataset\test_all\neg_pos_galaxynote8\galaxy_neg_pos_1.jpg,test_all,2,2,0.8640,0.7990,0.6650,0.8640;0.8497,0.7990;0.6650
galaxy_neg_pos_2,C:\n.gonorrhea_diagnostic_app\dataset\test_all\neg_pos_galaxynote8\galaxy_neg_pos_2.jpg,test_all,2,2,0.8588,0.8065,0.7525,0.8588;0.8552,0.8065;0.7525
galaxy_neg_pos_3,C:\n.gonorrhea_diagnostic_app\dataset\test_all\neg_pos_galaxynote8\galaxy_neg_pos_3.jpg,test_all,2,2,0.8502,0.8093,0.6775,0.8502;0.8462,0.8093;0.6775
galaxy_neg_pos_4,C:\n.gonorrhea_diagnostic_app\dataset\test_all\neg_pos_galaxynote8\galaxy_neg_pos_4.jpg,test_all,2,2,0.8462,0.8082,0.7050,0.8462;0.8367,0.8082;0.7050
galaxy_neg_pos_error_1,C:\n.gonorrhea_diagnostic_app\dataset\test_all\neg_pos_galaxynote8\galaxy_neg_pos_error_1.jpg,test_all,2,1,0.8655,0.8042,0.0000,0.8655;0.8630,0.8042
galaxy_neg_pos_error_2,C:\n.gonorrhea_diagnostic_app\dataset\test_all\neg_pos_galaxynote8\galaxy_neg_pos_error_2.jpg,test_all,2,1,0.8680,0.7940,0.0000,0.8680;0.8514,0.7940
iphone13_neg_half_1,C:\n.gonorrhea_diagnostic_app\dataset\test_all\neg_pos_iphone13\iphone13_neg_half_1.jpg,test_all,2,2,0.8648,0.8204,0.8154,0.8648;0.8578,0.8204;0.8154
iphone13_neg_half_2,C:\n.gonorrhea_diagnostic_app\dataset\test_all\neg_pos_iphone13\iphone13_neg_half_2.jpg,test_all,2,2,0.8701,0.8222,0.8129,0.8701;0.8527,0.8222;0.8129
iphone13_neg_other_1,C:\n.gonorrhea_diagnostic_app\dataset\test_all\neg_pos_iphone13\iphone13_neg_other_1.jpg,test_all,2,2,0.8337,0.8203,0.8137,0.8337;0.8076,0.8203;0.8137
iphone13_neg_other_2,C:\n.gonorrhea_diagnostic_app\dataset\test_all\neg_pos_iphone13\iphone13_neg_other_2.jpg,test_all,2,2,0.8511,0.8188,0.8059,0.8511;0.8405,0.8188;0.8059
iphone13_neg_pos_1,C:\n.gonorrhea_diagnostic_app\dataset\test_all\neg_pos_iphone13\iphone13_neg_pos_1.jpg,test_all,2,2,0.8575,0.8140,0.8084,0.8575;0.8321,0.8140;0.8084
iphone13_neg_pos_2,C:\n.gonorrhea_diagnostic_app\dataset\test_all\neg_pos_iphone13\iphone13_neg_pos_2.jpg,test_all,2,2,0.8603,0.8227,0.8014,0.8603;0.8388,0.8227;0.8014
iphone13_neg_pos_error_1,C:\n.gonorrhea_diagnostic_app\dataset\test_all\neg_pos_iphone13\iphone13_neg_pos_error_1.jpg,test_all,2,1,0.8457,0.8161,0.0000,0.8457;0.8422,0.8161
iphone13_neg_pos_error_2,C:\n.gonorrhea_diagnostic_app\dataset\test_all\neg_pos_iphone13\iphone13_neg_pos_error_2.jpg,test_all,2,1,0.8613,0.8180,0.0000,0.8613;0.8346,0.8180
iphone13pro_neg_half,C:\n.gonorrhea_diagnostic_app\dataset\test_all\neg_pos_iphone13pro\iphone13pro_neg_half.jpg,test_all,2,2,0.8464,0.8127,0.7970,0.8464;0.8144,0.8127;0.7970
iphone13pro_neg_other,C:\n.gonorrhea_diagnostic_app\dataset\test_all\neg_pos_iphone13pro\iphone13pro_neg_other.jpg,test_all,2,2,0.8564,0.8151,0.8035,0.8564;0.8167,0.8151;0.8035
iphone13pro_neg_pos,C:\n.gonorrhea_diagnostic_app\dataset\test_all\neg_pos_iphone13pro\iphone13pro_neg_pos.jpg,test_all,2,2,0.8657,0.8134,0.8036,0.8657;0.8373,0.8134;0.8036
iphone13pro_neg_pos_error_1,C:\n.gonorrhea_diagnostic_app\dataset\test_all\neg_pos_iphone13pro\iphone13pro_neg_pos_error_1.jpg,test_all,2,1,0.8496,0.7949,0.0000,0.8496;0.8487,0.7949
iphone13pro_neg_pos_error_2,C:\n.gonorrhea_diagnostic_app\dataset\test_all\neg_pos_iphone13pro\iphone13pro_neg_pos_error_2.jpg,test_all,2,1,0.8516,0.8069,0.0000,0.8516;0.8493,0.8069
