fpr,tpr,threshold
0.0,0.0,inf
0.0,0.05,1.361582
0.0,0.55,1.221675
0.041666666666666664,0.55,1.217391
0.041666666666666664,0.85,1.193069
0.125,0.85,1.174863
0.125,0.9,1.15942
0.16666666666666666,0.9,1.15528
0.16666666666666666,1.0,1.115741
0.75,1.0,0.971074
0.8333333333333334,1.0,0.960591
1.0,1.0,0.899038
