fpr,tpr,threshold
0.0,0.0,inf
0.0,0.09090909090909091,255.0
0.0,0.12727272727272726,254.0
0.0,0.14545454545454545,250.0
0.0,0.2545454545454545,247.0
0.0,0.2727272727272727,246.0
0.0,0.32727272727272727,245.0
0.0,0.36363636363636365,243.0
0.0,0.43636363636363634,242.0
0.0,0.5454545454545454,238.0
0.0,0.6,237.0
0.0,0.6181818181818182,235.0
0.0,0.6545454545454545,234.0
0.0,0.7090909090909091,231.0
0.0,0.7818181818181819,229.0
0.0,0.8,228.0
0.0,0.8545454545454545,227.0
0.0,0.8727272727272727,226.0
0.0,0.9272727272727272,225.0
0.0,0.9454545454545454,223.0
0.01818181818181818,0.9818181818181818,222.0
0.05454545454545454,1.0,221.0
0.12727272727272726,1.0,213.0
0.21818181818181817,1.0,212.0
0.2727272727272727,1.0,211.0
0.34545454545454546,1.0,210.0
0.43636363636363634,1.0,209.0
0.5636363636363636,1.0,208.0
0.5818181818181818,1.0,207.0
0.6363636363636364,1.0,206.0
0.6545454545454545,1.0,205.0
0.7272727272727273,1.0,203.0
0.7454545454545455,1.0,202.0
0.8,1.0,200.0
0.8181818181818182,1.0,199.0
0.8545454545454545,1.0,198.0
1.0,1.0,169.0
