fpr,tpr,threshold
0.0,0.0,inf
0.0,0.05,254.0
0.0,0.075,248.0
0.0,0.125,247.0
0.0,0.225,243.0
0.0,0.325,242.0
0.0,0.425,239.0
0.0,0.45,238.0
0.0,0.525,237.0
0.0,0.725,228.0
0.0,0.8,227.0
0.0,0.825,226.0
0.0,0.9,225.0
0.0,0.925,223.0
0.0,0.975,222.0
0.05,1.0,221.0
0.15,1.0,213.0
0.275,1.0,212.0
0.425,1.0,210.0
0.45,1.0,209.0
0.6,1.0,208.0
0.8,1.0,199.0
0.85,1.0,198.0
1.0,1.0,169.0
