image_id,image_path,role,label,method,tube_conf,roi_conf,mean_au,p95_au,sat_frac
solo_test_neg_r_0,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_r_0.jpg,solo,neg,HSV_S,0.8440,0.8029,208.700562,213.000000,0.000000
solo_test_neg_r_0,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_r_0.jpg,solo,neg,G_norm,0.8440,0.8029,103.081085,106.163261,0.000000
solo_test_neg_r_0,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_r_0.jpg,solo,neg,G_ratio,0.8440,0.8029,226.907318,238.335831,0.000000
solo_test_neg_r_0,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_r_0.jpg,solo,neg,ExG,0.8440,0.8029,122.290314,187.500000,0.000000
solo_test_neg_tube_1_1,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_tube_1_1.jpg,solo,neg,G,0.8560,0.8195,185.198196,209.000000,0.000000
solo_test_neg_tube_1_1,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_tube_1_1.jpg,solo,neg,HSV_V,0.8560,0.8195,241.924774,255.000000,0.000000
solo_test_neg_tube_1_1,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_tube_1_1.jpg,solo,neg,GRAY,0.8560,0.8195,181.195236,199.000000,0.000000
solo_test_neg_tube_1_1,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_tube_1_1.jpg,solo,neg,HSV_S,0.8560,0.8195,253.846649,255.000000,0.000000
solo_test_neg_tube_1_1,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_tube_1_1.jpg,solo,neg,G_norm,0.8560,0.8195,109.775391,114.612900,0.000000
solo_test_neg_tube_1_1,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_tube_1_1.jpg,solo,neg,G_ratio,0.8560,0.8195,220.801743,237.791656,0.000000
solo_test_neg_tube_1_1,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_tube_1_1.jpg,solo,neg,ExG,0.8560,0.8195,190.736374,235.583755,0.000000
solo_test_neg_tube_1_2,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_tube_1_2.jpg,solo,neg,G,0.8446,0.8256,199.546494,222.000000,0.000000
solo_test_neg_tube_1_2,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_tube_1_2.jpg,solo,neg,HSV_V,0.8446,0.8256,244.283325,255.000000,0.000000
solo_test_neg_tube_1_2,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_tube_1_2.jpg,solo,neg,GRAY,0.8446,0.8256,197.398682,214.000000,0.000000
solo_test_neg_tube_1_2,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_tube_1_2.jpg,solo,neg,HSV_S,0.8446,0.8256,189.343063,195.000000,0.000000
solo_test_neg_tube_1_2,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_tube_1_2.jpg,solo,neg,G_norm,0.8446,0.8256,100.242256,103.784531,0.000000
solo_test_neg_tube_1_2,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_tube_1_2.jpg,solo,neg,G_ratio,0.8446,0.8256,228.135010,241.580917,0.000000
solo_test_neg_tube_1_2,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_tube_1_2.jpg,solo,neg,ExG,0.8446,0.8256,145.931885,220.468750,0.000000
solo_test_neg_tube_2_1,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_tube_2_1.jpg,solo,neg,G,0.8571,0.8108,169.407532,190.000000,0.000000
solo_test_neg_tube_2_1,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_tube_2_1.jpg,solo,neg,HSV_V,0.8571,0.8108,208.397293,225.000000,0.000000
solo_test_neg_tube_2_1,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_tube_2_1.jpg,solo,neg,GRAY,0.8571,0.8108,165.716919,183.000000,0.000000
solo_test_neg_tube_2_1,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_tube_2_1.jpg,solo,neg,HSV_S,0.8571,0.8108,212.931137,218.000000,0.000000
solo_test_neg_tube_2_1,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_tube_2_1.jpg,solo,neg,G_norm,0.8571,0.8108,104.490761,106.917046,0.000000
solo_test_neg_tube_2_1,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_tube_2_1.jpg,solo,neg,G_ratio,0.8571,0.8108,242.434753,251.889114,0.000000
solo_test_neg_tube_2_1,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_tube_2_1.jpg,solo,neg,ExG,0.8571,0.8108,196.596710,242.857147,0.000000
solo_test_neg_tube_2_2,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_tube_2_2.jpg,solo,neg,G,0.8471,0.7978,181.801743,203.000000,0.000000
solo_test_neg_tube_2_2,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_tube_2_2.jpg,solo,neg,HSV_V,0.8471,0.7978,229.971191,247.000000,0.000000
solo_test_neg_tube_2_2,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_tube_2_2.jpg,solo,neg,GRAY,0.8471,0.7978,181.981628,200.000000,0.000000
solo_test_neg_tube_2_2,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_tube_2_2.jpg,solo,neg,HSV_S,0.8471,0.7978,192.605621,197.000000,0.000000
