split,both_normal,cliffs_delta,cohens_d,mannwhitney_U,mannwhitney_p,n_neg,n_pos,neg_mean,neg_median,neg_sd,overlap_n,overlap_range,pos_mean,pos_median,pos_sd,same_conclusion,shapiro_neg_W,shapiro_neg_p,shapiro_pos_W,shapiro_pos_p,welch_p,welch_t
전체,False,0.9980165289256199,3.19114655772845,3022.0,1.799815538876394e-19,55,55,204.70909090909092,208.0,10.955588337689393,6,"[221.0, 222.0]",238.4909090909091,239.0,10.203254250796522,True,0.8372823334741872,3.0054982052579495e-06,0.9534382424762201,0.03269300898790826,1.0602044748009578e-31,16.734513727766597
train,False,0.99875,2.915810847229775,1599.0,1.4952141011336863e-14,40,40,204.55,208.0,12.025507079238716,3,"[221.0, 221.0]",235.625,237.0,9.085597224347826,True,0.8037321176307697,8.110604400949518e-06,0.9602919534727591,0.1713910278062577,1.0584905459471517e-20,13.039902527874062
test,False,1.0,4.80873533717929,225.0,3.113098641666425e-06,15,15,205.13333333333333,206.0,7.73550872522908,0,"[222.0, 229.0]",246.13333333333333,249.0,9.249453008280055,True,0.9164286722219416,0.16988833751168259,0.8508606321545806,0.01786039964595988,2.6305169965831907e-13,13.169264086226539
